0	其他	9999	9999	0
1	长春	1	901	1
2	吉林	2	902	1
3	四平	3	903	1
4	松原	4	904	1
5	通化	5	905	1
6	辽源	6	906	1
7	白城	7	907	1
8	白山	8	908	1
9	延吉	9	909	1
